section;entity;subentity;key;value;unit;note
snapshot;game;;year;1368;;
snapshot;game;;month;1;;
snapshot;game;;sea_state;bewegte See;;
snapshot;game;;source_player;Test;;
atheria;macro;;global_growth;0.8791;;
atheria;macro;;global_price_level;1.2637;;
atheria;macro;;resource_scarcity;0.6200;;
city;Luebeck;;treasury;0;Mark;
city;Luebeck;;building_count;4;count;
city_inventory;Luebeck;Salz;stock;151;units;
city_inventory;Luebeck;Salz;scarcity_factor;1.0000;;
city_inventory;Luebeck;Salz;market_price;63;Mark;
city_inventory;Luebeck;Holz;stock;160;units;
city_inventory;Luebeck;Holz;scarcity_factor;1.0000;;
city_inventory;Luebeck;Holz;market_price;31;Mark;
city_inventory;Luebeck;Pelze;stock;175;units;
city_inventory;Luebeck;Pelze;scarcity_factor;1.0000;;
city_inventory;Luebeck;Pelze;market_price;108;Mark;
city_inventory;Luebeck;Getreide;stock;157;units;
city_inventory;Luebeck;Getreide;scarcity_factor;1.0000;;
city_inventory;Luebeck;Getreide;market_price;47;Mark;
city_inventory;Luebeck;Tuch;stock;127;units;
city_inventory;Luebeck;Tuch;scarcity_factor;1.0000;;
city_inventory;Luebeck;Tuch;market_price;91;Mark;
city_inventory;Luebeck;Hering;stock;171;units;
city_inventory;Luebeck;Hering;scarcity_factor;1.0000;;
city_inventory;Luebeck;Hering;market_price;37;Mark;
city_inventory;Luebeck;Wein;stock;145;units;
city_inventory;Luebeck;Wein;scarcity_factor;1.0000;;
city_inventory;Luebeck;Wein;market_price;161;Mark;
city_inventory;Luebeck;Bier;stock;125;units;
city_inventory;Luebeck;Bier;scarcity_factor;1.0000;;
city_inventory;Luebeck;Bier;market_price;71;Mark;
building;Luebeck;1;id;brewery;;
building;Luebeck;1;name;Brauerei;;
building;Luebeck;1;level;2;;
building;Luebeck;1;active;1;;
building;Luebeck;1;can_run_now;1;;
building;Luebeck;1;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Luebeck;1;outputs;"{""Bier"": 6}";;
building;Luebeck;1;upkeep;2;Mark;
building;Luebeck;2;id;weavery;;
building;Luebeck;2;name;Weberei;;
building;Luebeck;2;level;2;;
building;Luebeck;2;active;1;;
building;Luebeck;2;can_run_now;1;;
building;Luebeck;2;inputs;"{""Holz"": 2}";;
building;Luebeck;2;outputs;"{""Tuch"": 3}";;
building;Luebeck;2;upkeep;2;Mark;
building;Luebeck;3;id;grain_farm;;
building;Luebeck;3;name;Getreidehof;;
building;Luebeck;3;level;1;;
building;Luebeck;3;active;1;;
building;Luebeck;3;can_run_now;1;;
building;Luebeck;3;inputs;{};;
building;Luebeck;3;outputs;"{""Getreide"": 5}";;
building;Luebeck;3;upkeep;1;Mark;
building;Luebeck;4;id;fishery;;
building;Luebeck;4;name;Fischerei;;
building;Luebeck;4;level;1;;
building;Luebeck;4;active;1;;
building;Luebeck;4;can_run_now;1;;
building;Luebeck;4;inputs;{};;
building;Luebeck;4;outputs;"{""Hering"": 4}";;
building;Luebeck;4;upkeep;1;Mark;
city;Bergen;;treasury;0;Mark;
city;Bergen;;building_count;4;count;
city_inventory;Bergen;Salz;stock;122;units;
city_inventory;Bergen;Salz;scarcity_factor;1.0000;;
city_inventory;Bergen;Salz;market_price;68;Mark;
city_inventory;Bergen;Holz;stock;151;units;
city_inventory;Bergen;Holz;scarcity_factor;1.0000;;
city_inventory;Bergen;Holz;market_price;28;Mark;
city_inventory;Bergen;Pelze;stock;179;units;
city_inventory;Bergen;Pelze;scarcity_factor;1.0000;;
city_inventory;Bergen;Pelze;market_price;103;Mark;
city_inventory;Bergen;Getreide;stock;144;units;
city_inventory;Bergen;Getreide;scarcity_factor;1.0000;;
city_inventory;Bergen;Getreide;market_price;37;Mark;
city_inventory;Bergen;Tuch;stock;150;units;
city_inventory;Bergen;Tuch;scarcity_factor;1.0000;;
city_inventory;Bergen;Tuch;market_price;62;Mark;
city_inventory;Bergen;Hering;stock;178;units;
city_inventory;Bergen;Hering;scarcity_factor;1.0000;;
city_inventory;Bergen;Hering;market_price;28;Mark;
city_inventory;Bergen;Wein;stock;150;units;
city_inventory;Bergen;Wein;scarcity_factor;1.0000;;
city_inventory;Bergen;Wein;market_price;134;Mark;
city_inventory;Bergen;Bier;stock;139;units;
city_inventory;Bergen;Bier;scarcity_factor;1.0000;;
city_inventory;Bergen;Bier;market_price;55;Mark;
building;Bergen;1;id;woodcutter;;
building;Bergen;1;name;Holzfaeller;;
building;Bergen;1;level;2;;
building;Bergen;1;active;1;;
building;Bergen;1;can_run_now;1;;
building;Bergen;1;inputs;{};;
building;Bergen;1;outputs;"{""Holz"": 6}";;
building;Bergen;1;upkeep;1;Mark;
building;Bergen;2;id;fishery;;
building;Bergen;2;name;Fischerei;;
building;Bergen;2;level;2;;
building;Bergen;2;active;1;;
building;Bergen;2;can_run_now;1;;
building;Bergen;2;inputs;{};;
building;Bergen;2;outputs;"{""Hering"": 4}";;
building;Bergen;2;upkeep;1;Mark;
building;Bergen;3;id;tannery;;
building;Bergen;3;name;Gerberei;;
building;Bergen;3;level;1;;
building;Bergen;3;active;1;;
building;Bergen;3;can_run_now;1;;
building;Bergen;3;inputs;"{""Salz"": 1}";;
building;Bergen;3;outputs;"{""Pelze"": 2}";;
building;Bergen;3;upkeep;2;Mark;
building;Bergen;4;id;brewery;;
building;Bergen;4;name;Brauerei;;
building;Bergen;4;level;1;;
building;Bergen;4;active;1;;
building;Bergen;4;can_run_now;1;;
building;Bergen;4;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Bergen;4;outputs;"{""Bier"": 6}";;
building;Bergen;4;upkeep;2;Mark;
city;Toensberg;;treasury;0;Mark;
city;Toensberg;;building_count;4;count;
city_inventory;Toensberg;Salz;stock;142;units;
city_inventory;Toensberg;Salz;scarcity_factor;1.0000;;
city_inventory;Toensberg;Salz;market_price;69;Mark;
city_inventory;Toensberg;Holz;stock;153;units;
city_inventory;Toensberg;Holz;scarcity_factor;1.0000;;
city_inventory;Toensberg;Holz;market_price;34;Mark;
city_inventory;Toensberg;Pelze;stock;169;units;
city_inventory;Toensberg;Pelze;scarcity_factor;1.0000;;
city_inventory;Toensberg;Pelze;market_price;125;Mark;
city_inventory;Toensberg;Getreide;stock;169;units;
city_inventory;Toensberg;Getreide;scarcity_factor;1.0000;;
city_inventory;Toensberg;Getreide;market_price;52;Mark;
city_inventory;Toensberg;Tuch;stock;121;units;
city_inventory;Toensberg;Tuch;scarcity_factor;1.0000;;
city_inventory;Toensberg;Tuch;market_price;71;Mark;
city_inventory;Toensberg;Hering;stock;180;units;
city_inventory;Toensberg;Hering;scarcity_factor;1.0000;;
city_inventory;Toensberg;Hering;market_price;40;Mark;
city_inventory;Toensberg;Wein;stock;167;units;
city_inventory;Toensberg;Wein;scarcity_factor;1.0000;;
city_inventory;Toensberg;Wein;market_price;210;Mark;
city_inventory;Toensberg;Bier;stock;169;units;
city_inventory;Toensberg;Bier;scarcity_factor;1.0000;;
city_inventory;Toensberg;Bier;market_price;49;Mark;
building;Toensberg;1;id;woodcutter;;
building;Toensberg;1;name;Holzfaeller;;
building;Toensberg;1;level;1;;
building;Toensberg;1;active;1;;
building;Toensberg;1;can_run_now;1;;
building;Toensberg;1;inputs;{};;
building;Toensberg;1;outputs;"{""Holz"": 6}";;
building;Toensberg;1;upkeep;1;Mark;
building;Toensberg;2;id;grain_farm;;
building;Toensberg;2;name;Getreidehof;;
building;Toensberg;2;level;1;;
building;Toensberg;2;active;1;;
building;Toensberg;2;can_run_now;1;;
building;Toensberg;2;inputs;{};;
building;Toensberg;2;outputs;"{""Getreide"": 5}";;
building;Toensberg;2;upkeep;1;Mark;
building;Toensberg;3;id;fishery;;
building;Toensberg;3;name;Fischerei;;
building;Toensberg;3;level;1;;
building;Toensberg;3;active;1;;
building;Toensberg;3;can_run_now;1;;
building;Toensberg;3;inputs;{};;
building;Toensberg;3;outputs;"{""Hering"": 4}";;
building;Toensberg;3;upkeep;1;Mark;
building;Toensberg;4;id;weavery;;
building;Toensberg;4;name;Weberei;;
building;Toensberg;4;level;1;;
building;Toensberg;4;active;1;;
building;Toensberg;4;can_run_now;1;;
building;Toensberg;4;inputs;"{""Holz"": 2}";;
building;Toensberg;4;outputs;"{""Tuch"": 3}";;
building;Toensberg;4;upkeep;2;Mark;
city;Warberg;;treasury;0;Mark;
city;Warberg;;building_count;4;count;
city_inventory;Warberg;Salz;stock;150;units;
city_inventory;Warberg;Salz;scarcity_factor;1.0000;;
city_inventory;Warberg;Salz;market_price;69;Mark;
city_inventory;Warberg;Holz;stock;168;units;
city_inventory;Warberg;Holz;scarcity_factor;1.0000;;
city_inventory;Warberg;Holz;market_price;38;Mark;
city_inventory;Warberg;Pelze;stock;145;units;
city_inventory;Warberg;Pelze;scarcity_factor;1.0000;;
city_inventory;Warberg;Pelze;market_price;108;Mark;
city_inventory;Warberg;Getreide;stock;146;units;
city_inventory;Warberg;Getreide;scarcity_factor;1.0000;;
city_inventory;Warberg;Getreide;market_price;39;Mark;
city_inventory;Warberg;Tuch;stock;123;units;
city_inventory;Warberg;Tuch;scarcity_factor;1.0000;;
