section;entity;subentity;key;value;unit;note
snapshot;game;;year;1408;;
snapshot;game;;month;4;;
snapshot;game;;sea_state;stuermische See;;
atheria;macro;;global_growth;0.8740;;
atheria;macro;;global_price_level;1.4098;;
atheria;macro;;resource_scarcity;0.6200;;
city;Luebeck;;treasury;5007;Mark;
city;Luebeck;;bankrupt;0;;
city;Luebeck;;building_count;11;count;
city_inventory;Luebeck;Salz;stock;794;units;
city_inventory;Luebeck;Salz;scarcity_factor;0.7800;;
city_inventory;Luebeck;Salz;market_price;78;Mark;
city_inventory;Luebeck;Holz;stock;639;units;
city_inventory;Luebeck;Holz;scarcity_factor;0.7800;;
city_inventory;Luebeck;Holz;market_price;40;Mark;
city_inventory;Luebeck;Pelze;stock;2420;units;
city_inventory;Luebeck;Pelze;scarcity_factor;0.7800;;
city_inventory;Luebeck;Pelze;market_price;189;Mark;
city_inventory;Luebeck;Getreide;stock;3;units;
city_inventory;Luebeck;Getreide;scarcity_factor;1.4083;;
city_inventory;Luebeck;Getreide;market_price;71;Mark;
city_inventory;Luebeck;Tuch;stock;430;units;
city_inventory;Luebeck;Tuch;scarcity_factor;0.7800;;
city_inventory;Luebeck;Tuch;market_price;117;Mark;
city_inventory;Luebeck;Hering;stock;3575;units;
city_inventory;Luebeck;Hering;scarcity_factor;0.7800;;
city_inventory;Luebeck;Hering;market_price;56;Mark;
city_inventory;Luebeck;Wein;stock;354;units;
city_inventory;Luebeck;Wein;scarcity_factor;0.8156;;
city_inventory;Luebeck;Wein;market_price;163;Mark;
city_inventory;Luebeck;Bier;stock;720;units;
city_inventory;Luebeck;Bier;scarcity_factor;0.7800;;
city_inventory;Luebeck;Bier;market_price;62;Mark;
city_inventory;Luebeck;Hopfen;stock;28;units;
city_inventory;Luebeck;Hopfen;scarcity_factor;1.2000;;
city_inventory;Luebeck;Hopfen;market_price;112;Mark;
city_inventory;Luebeck;Teer;stock;815;units;
city_inventory;Luebeck;Teer;scarcity_factor;0.7800;;
city_inventory;Luebeck;Teer;market_price;111;Mark;
building;Luebeck;1;id;brewery;;
building;Luebeck;1;name;Brauerei;;
building;Luebeck;1;level;2;;
building;Luebeck;1;active;1;;
building;Luebeck;1;can_run_now;0;;
building;Luebeck;1;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Luebeck;1;outputs;"{""Bier"": 6}";;
building;Luebeck;2;id;fishery;;
building;Luebeck;2;name;Fischerei;;
building;Luebeck;2;level;1;;
building;Luebeck;2;active;1;;
building;Luebeck;2;can_run_now;1;;
building;Luebeck;2;inputs;{};;
building;Luebeck;2;outputs;"{""Hering"": 4}";;
building;Luebeck;3;id;grain_farm;;
building;Luebeck;3;name;Getreidehof;;
building;Luebeck;3;level;1;;
building;Luebeck;3;active;1;;
building;Luebeck;3;can_run_now;1;;
building;Luebeck;3;inputs;{};;
building;Luebeck;3;outputs;"{""Getreide"": 5}";;
building;Luebeck;4;id;salt_mine;;
building;Luebeck;4;name;Salzmine;;
building;Luebeck;4;level;1;;
building;Luebeck;4;active;1;;
building;Luebeck;4;can_run_now;1;;
building;Luebeck;4;inputs;{};;
building;Luebeck;4;outputs;"{""Salz"": 5}";;
building;Luebeck;5;id;tannery;;
building;Luebeck;5;name;Gerberei;;
building;Luebeck;5;level;1;;
building;Luebeck;5;active;1;;
building;Luebeck;5;can_run_now;1;;
building;Luebeck;5;inputs;"{""Salz"": 1}";;
building;Luebeck;5;outputs;"{""Pelze"": 2}";;
building;Luebeck;6;id;weavery;;
building;Luebeck;6;name;Weberei;;
building;Luebeck;6;level;2;;
building;Luebeck;6;active;1;;
building;Luebeck;6;can_run_now;1;;
building;Luebeck;6;inputs;"{""Holz"": 2}";;
building;Luebeck;6;outputs;"{""Tuch"": 3}";;
building;Luebeck;7;id;winery;;
building;Luebeck;7;name;Weinkellerei;;
building;Luebeck;7;level;1;;
building;Luebeck;7;active;1;;
building;Luebeck;7;can_run_now;1;;
building;Luebeck;7;inputs;"{""Getreide"": 3}";;
building;Luebeck;7;outputs;"{""Wein"": 3}";;
building;Luebeck;8;id;woodcutter;;
building;Luebeck;8;name;Holzfaeller;;
building;Luebeck;8;level;1;;
building;Luebeck;8;active;1;;
building;Luebeck;8;can_run_now;1;;
building;Luebeck;8;inputs;{};;
building;Luebeck;8;outputs;"{""Holz"": 6}";;
building;Luebeck;9;id;grand_brewery;;
building;Luebeck;9;name;Grossbrauerei;;
building;Luebeck;9;level;2;;
building;Luebeck;9;active;1;;
building;Luebeck;9;can_run_now;0;;
building;Luebeck;9;inputs;"{""Getreide"": 4, ""Hopfen"": 2, ""Holz"": 1}";;
building;Luebeck;9;outputs;"{""Bier"": 10}";;
building;Luebeck;10;id;hop_farm;;
building;Luebeck;10;name;Hopfenplantage;;
building;Luebeck;10;level;1;;
building;Luebeck;10;active;1;;
building;Luebeck;10;can_run_now;1;;
building;Luebeck;10;inputs;{};;
building;Luebeck;10;outputs;"{""Hopfen"": 5}";;
building;Luebeck;11;id;tar_kiln;;
building;Luebeck;11;name;Teerbrennerei;;
building;Luebeck;11;level;1;;
building;Luebeck;11;active;1;;
building;Luebeck;11;can_run_now;1;;
building;Luebeck;11;inputs;"{""Holz"": 3}";;
building;Luebeck;11;outputs;"{""Teer"": 4}";;
city;Bergen;;treasury;5798;Mark;
city;Bergen;;bankrupt;0;;
city;Bergen;;building_count;11;count;
city_inventory;Bergen;Salz;stock;3177;units;
city_inventory;Bergen;Salz;scarcity_factor;0.7800;;
city_inventory;Bergen;Salz;market_price;74;Mark;
city_inventory;Bergen;Holz;stock;3906;units;
city_inventory;Bergen;Holz;scarcity_factor;0.7800;;
city_inventory;Bergen;Holz;market_price;43;Mark;
city_inventory;Bergen;Pelze;stock;472;units;
city_inventory;Bergen;Pelze;scarcity_factor;0.7800;;
city_inventory;Bergen;Pelze;market_price;88;Mark;
city_inventory;Bergen;Getreide;stock;2;units;
city_inventory;Bergen;Getreide;scarcity_factor;1.4167;;
city_inventory;Bergen;Getreide;market_price;84;Mark;
city_inventory;Bergen;Tuch;stock;2188;units;
city_inventory;Bergen;Tuch;scarcity_factor;0.7800;;
city_inventory;Bergen;Tuch;market_price;120;Mark;
city_inventory;Bergen;Hering;stock;1484;units;
city_inventory;Bergen;Hering;scarcity_factor;0.7800;;
city_inventory;Bergen;Hering;market_price;37;Mark;
city_inventory;Bergen;Wein;stock;732;units;
