section;entity;subentity;key;value;unit;note
snapshot;game;;year;1409;;
snapshot;game;;month;11;;
snapshot;game;;sea_state;tobende See;;
atheria;macro;;global_growth;0.7954;;
atheria;macro;;global_price_level;1.4105;;
atheria;macro;;resource_scarcity;0.6200;;
city;Luebeck;;treasury;5258;Mark;
city;Luebeck;;bankrupt;0;;
city;Luebeck;;building_count;11;count;
city_inventory;Luebeck;Salz;stock;851;units;
city_inventory;Luebeck;Salz;scarcity_factor;0.7800;;
city_inventory;Luebeck;Salz;market_price;80;Mark;
city_inventory;Luebeck;Holz;stock;614;units;
city_inventory;Luebeck;Holz;scarcity_factor;0.7800;;
city_inventory;Luebeck;Holz;market_price;51;Mark;
city_inventory;Luebeck;Pelze;stock;1760;units;
city_inventory;Luebeck;Pelze;scarcity_factor;0.7800;;
city_inventory;Luebeck;Pelze;market_price;182;Mark;
city_inventory;Luebeck;Getreide;stock;0;units;
city_inventory;Luebeck;Getreide;scarcity_factor;1.4333;;
city_inventory;Luebeck;Getreide;market_price;76;Mark;
city_inventory;Luebeck;Tuch;stock;544;units;
city_inventory;Luebeck;Tuch;scarcity_factor;0.7800;;
city_inventory;Luebeck;Tuch;market_price;85;Mark;
city_inventory;Luebeck;Hering;stock;3632;units;
city_inventory;Luebeck;Hering;scarcity_factor;0.7800;;
city_inventory;Luebeck;Hering;market_price;59;Mark;
city_inventory;Luebeck;Wein;stock;267;units;
city_inventory;Luebeck;Wein;scarcity_factor;0.9122;;
city_inventory;Luebeck;Wein;market_price;219;Mark;
city_inventory;Luebeck;Bier;stock;780;units;
city_inventory;Luebeck;Bier;scarcity_factor;0.7800;;
city_inventory;Luebeck;Bier;market_price;59;Mark;
city_inventory;Luebeck;Hopfen;stock;771;units;
city_inventory;Luebeck;Hopfen;scarcity_factor;0.7800;;
city_inventory;Luebeck;Hopfen;market_price;70;Mark;
city_inventory;Luebeck;Teer;stock;891;units;
city_inventory;Luebeck;Teer;scarcity_factor;0.7800;;
city_inventory;Luebeck;Teer;market_price;146;Mark;
building;Luebeck;1;id;brewery;;
building;Luebeck;1;name;Brauerei;;
building;Luebeck;1;level;2;;
building;Luebeck;1;active;1;;
building;Luebeck;1;can_run_now;0;;
building;Luebeck;1;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Luebeck;1;outputs;"{""Bier"": 6}";;
building;Luebeck;2;id;fishery;;
building;Luebeck;2;name;Fischerei;;
building;Luebeck;2;level;1;;
building;Luebeck;2;active;1;;
building;Luebeck;2;can_run_now;1;;
building;Luebeck;2;inputs;{};;
building;Luebeck;2;outputs;"{""Hering"": 4}";;
building;Luebeck;3;id;grain_farm;;
building;Luebeck;3;name;Getreidehof;;
building;Luebeck;3;level;1;;
building;Luebeck;3;active;1;;
building;Luebeck;3;can_run_now;1;;
building;Luebeck;3;inputs;{};;
building;Luebeck;3;outputs;"{""Getreide"": 5}";;
building;Luebeck;4;id;salt_mine;;
building;Luebeck;4;name;Salzmine;;
building;Luebeck;4;level;1;;
building;Luebeck;4;active;1;;
building;Luebeck;4;can_run_now;1;;
building;Luebeck;4;inputs;{};;
building;Luebeck;4;outputs;"{""Salz"": 5}";;
building;Luebeck;5;id;tannery;;
building;Luebeck;5;name;Gerberei;;
building;Luebeck;5;level;1;;
building;Luebeck;5;active;1;;
building;Luebeck;5;can_run_now;1;;
building;Luebeck;5;inputs;"{""Salz"": 1}";;
building;Luebeck;5;outputs;"{""Pelze"": 2}";;
building;Luebeck;6;id;weavery;;
building;Luebeck;6;name;Weberei;;
building;Luebeck;6;level;2;;
building;Luebeck;6;active;1;;
building;Luebeck;6;can_run_now;1;;
building;Luebeck;6;inputs;"{""Holz"": 2}";;
building;Luebeck;6;outputs;"{""Tuch"": 3}";;
building;Luebeck;7;id;winery;;
building;Luebeck;7;name;Weinkellerei;;
building;Luebeck;7;level;1;;
building;Luebeck;7;active;1;;
building;Luebeck;7;can_run_now;0;;
building;Luebeck;7;inputs;"{""Getreide"": 3}";;
building;Luebeck;7;outputs;"{""Wein"": 3}";;
building;Luebeck;8;id;woodcutter;;
building;Luebeck;8;name;Holzfaeller;;
building;Luebeck;8;level;1;;
building;Luebeck;8;active;1;;
building;Luebeck;8;can_run_now;1;;
building;Luebeck;8;inputs;{};;
building;Luebeck;8;outputs;"{""Holz"": 6}";;
building;Luebeck;9;id;grand_brewery;;
building;Luebeck;9;name;Grossbrauerei;;
building;Luebeck;9;level;2;;
building;Luebeck;9;active;1;;
building;Luebeck;9;can_run_now;0;;
building;Luebeck;9;inputs;"{""Getreide"": 4, ""Hopfen"": 2, ""Holz"": 1}";;
building;Luebeck;9;outputs;"{""Bier"": 10}";;
building;Luebeck;10;id;hop_farm;;
building;Luebeck;10;name;Hopfenplantage;;
building;Luebeck;10;level;1;;
building;Luebeck;10;active;1;;
building;Luebeck;10;can_run_now;1;;
building;Luebeck;10;inputs;{};;
building;Luebeck;10;outputs;"{""Hopfen"": 5}";;
building;Luebeck;11;id;tar_kiln;;
building;Luebeck;11;name;Teerbrennerei;;
building;Luebeck;11;level;1;;
building;Luebeck;11;active;1;;
building;Luebeck;11;can_run_now;1;;
building;Luebeck;11;inputs;"{""Holz"": 3}";;
building;Luebeck;11;outputs;"{""Teer"": 4}";;
city;Bergen;;treasury;6084;Mark;
city;Bergen;;bankrupt;0;;
city;Bergen;;building_count;11;count;
city_inventory;Bergen;Salz;stock;3234;units;
city_inventory;Bergen;Salz;scarcity_factor;0.7800;;
city_inventory;Bergen;Salz;market_price;83;Mark;
city_inventory;Bergen;Holz;stock;3146;units;
city_inventory;Bergen;Holz;scarcity_factor;0.7800;;
city_inventory;Bergen;Holz;market_price;49;Mark;
city_inventory;Bergen;Pelze;stock;342;units;
city_inventory;Bergen;Pelze;scarcity_factor;0.8289;;
city_inventory;Bergen;Pelze;market_price;160;Mark;
city_inventory;Bergen;Getreide;stock;3;units;
city_inventory;Bergen;Getreide;scarcity_factor;1.4083;;
city_inventory;Bergen;Getreide;market_price;84;Mark;
city_inventory;Bergen;Tuch;stock;2245;units;
city_inventory;Bergen;Tuch;scarcity_factor;0.7800;;
city_inventory;Bergen;Tuch;market_price;125;Mark;
city_inventory;Bergen;Hering;stock;1617;units;
city_inventory;Bergen;Hering;scarcity_factor;0.7800;;
city_inventory;Bergen;Hering;market_price;49;Mark;
city_inventory;Bergen;Wein;stock;2547;units;
city_inventory;Bergen;Wein;scarcity_factor;0.7800;;
city_inventory;Bergen;Wein;market_price;160;Mark;
city_inventory;Bergen;Bier;stock;1276;units;
city_inventory;Bergen;Bier;scarcity_factor;0.7800;;
city_inventory;Bergen;Bier;market_price;63;Mark;
city_inventory;Bergen;Hopfen;stock;798;units;
city_inventory;Bergen;Hopfen;scarcity_factor;0.7800;;
city_inventory;Bergen;Hopfen;market_price;96;Mark;
city_inventory;Bergen;Teer;stock;688;units;
city_inventory;Bergen;Teer;scarcity_factor;0.7800;;
city_inventory;Bergen;Teer;market_price;130;Mark;
building;Bergen;1;id;brewery;;
building;Bergen;1;name;Brauerei;;
building;Bergen;1;level;1;;
building;Bergen;1;active;1;;
building;Bergen;1;can_run_now;0;;
building;Bergen;1;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Bergen;1;outputs;"{""Bier"": 6}";;
building;Bergen;2;id;fishery;;
building;Bergen;2;name;Fischerei;;
building;Bergen;2;level;2;;
building;Bergen;2;active;1;;
building;Bergen;2;can_run_now;1;;
building;Bergen;2;inputs;{};;
building;Bergen;2;outputs;"{""Hering"": 4}";;
building;Bergen;3;id;grain_farm;;
building;Bergen;3;name;Getreidehof;;
building;Bergen;3;level;1;;
building;Bergen;3;active;1;;
building;Bergen;3;can_run_now;1;;
building;Bergen;3;inputs;{};;
building;Bergen;3;outputs;"{""Getreide"": 5}";;
building;Bergen;4;id;salt_mine;;
building;Bergen;4;name;Salzmine;;
building;Bergen;4;level;1;;
building;Bergen;4;active;1;;
building;Bergen;4;can_run_now;1;;
building;Bergen;4;inputs;{};;
building;Bergen;4;outputs;"{""Salz"": 5}";;
building;Bergen;5;id;tannery;;
building;Bergen;5;name;Gerberei;;
building;Bergen;5;level;1;;
building;Bergen;5;active;1;;
building;Bergen;5;can_run_now;1;;
building;Bergen;5;inputs;"{""Salz"": 1}";;
building;Bergen;5;outputs;"{""Pelze"": 2}";;
building;Bergen;6;id;weavery;;
building;Bergen;6;name;Weberei;;
building;Bergen;6;level;1;;
building;Bergen;6;active;1;;
building;Bergen;6;can_run_now;1;;
building;Bergen;6;inputs;"{""Holz"": 2}";;
building;Bergen;6;outputs;"{""Tuch"": 3}";;
building;Bergen;7;id;winery;;
building;Bergen;7;name;Weinkellerei;;
building;Bergen;7;level;1;;
building;Bergen;7;active;1;;
building;Bergen;7;can_run_now;1;;
building;Bergen;7;inputs;"{""Getreide"": 3}";;
building;Bergen;7;outputs;"{""Wein"": 3}";;
building;Bergen;8;id;woodcutter;;
building;Bergen;8;name;Holzfaeller;;
building;Bergen;8;level;2;;
building;Bergen;8;active;1;;
building;Bergen;8;can_run_now;1;;
building;Bergen;8;inputs;{};;
building;Bergen;8;outputs;"{""Holz"": 6}";;
building;Bergen;9;id;grand_brewery;;
building;Bergen;9;name;Grossbrauerei;;
building;Bergen;9;level;1;;
building;Bergen;9;active;1;;
building;Bergen;9;can_run_now;0;;
building;Bergen;9;inputs;"{""Getreide"": 4, ""Hopfen"": 2, ""Holz"": 1}";;
building;Bergen;9;outputs;"{""Bier"": 10}";;
building;Bergen;10;id;hop_farm;;
building;Bergen;10;name;Hopfenplantage;;
building;Bergen;10;level;2;;
building;Bergen;10;active;1;;
building;Bergen;10;can_run_now;1;;
building;Bergen;10;inputs;{};;
building;Bergen;10;outputs;"{""Hopfen"": 5}";;
building;Bergen;11;id;tar_kiln;;
building;Bergen;11;name;Teerbrennerei;;
building;Bergen;11;level;2;;
building;Bergen;11;active;1;;
building;Bergen;11;can_run_now;1;;
building;Bergen;11;inputs;"{""Holz"": 3}";;
building;Bergen;11;outputs;"{""Teer"": 4}";;
city;Toensberg;;treasury;5581;Mark;
city;Toensberg;;bankrupt;0;;
city;Toensberg;;building_count;11;count;
city_inventory;Toensberg;Salz;stock;1959;units;
city_inventory;Toensberg;Salz;scarcity_factor;0.7800;;
city_inventory;Toensberg;Salz;market_price;118;Mark;
city_inventory;Toensberg;Holz;stock;252;units;
city_inventory;Toensberg;Holz;scarcity_factor;0.9360;;
city_inventory;Toensberg;Holz;market_price;75;Mark;
city_inventory;Toensberg;Pelze;stock;621;units;
city_inventory;Toensberg;Pelze;scarcity_factor;0.7800;;
city_inventory;Toensberg;Pelze;market_price;133;Mark;
city_inventory;Toensberg;Getreide;stock;2;units;
city_inventory;Toensberg;Getreide;scarcity_factor;1.4167;;
city_inventory;Toensberg;Getreide;market_price;85;Mark;
city_inventory;Toensberg;Tuch;stock;2182;units;
city_inventory;Toensberg;Tuch;scarcity_factor;0.7800;;
city_inventory;Toensberg;Tuch;market_price;159;Mark;
city_inventory;Toensberg;Hering;stock;2339;units;
city_inventory;Toensberg;Hering;scarcity_factor;0.7800;;
city_inventory;Toensberg;Hering;market_price;64;Mark;
city_inventory;Toensberg;Wein;stock;1400;units;
city_inventory;Toensberg;Wein;scarcity_factor;0.7800;;
city_inventory;Toensberg;Wein;market_price;142;Mark;
city_inventory;Toensberg;Bier;stock;612;units;
city_inventory;Toensberg;Bier;scarcity_factor;0.7800;;
city_inventory;Toensberg;Bier;market_price;60;Mark;
city_inventory;Toensberg;Hopfen;stock;1376;units;
city_inventory;Toensberg;Hopfen;scarcity_factor;0.7800;;
city_inventory;Toensberg;Hopfen;market_price;115;Mark;
city_inventory;Toensberg;Teer;stock;272;units;
city_inventory;Toensberg;Teer;scarcity_factor;0.9067;;
city_inventory;Toensberg;Teer;market_price;191;Mark;
building;Toensberg;1;id;brewery;;
building;Toensberg;1;name;Brauerei;;
building;Toensberg;1;level;1;;
building;Toensberg;1;active;1;;
building;Toensberg;1;can_run_now;0;;
building;Toensberg;1;inputs;"{""Getreide"": 4, ""Holz"": 1}";;
building;Toensberg;1;outputs;"{""Bier"": 6}";;
building;Toensberg;2;id;fishery;;
building;Toensberg;2;name;Fischerei;;
building;Toensberg;2;level;2;;
building;Toensberg;2;active;1;;
building;Toensberg;2;can_run_now;1;;
building;Toensberg;2;inputs;{};;
building;Toensberg;2;outputs;"{""Hering"": 4}";;
building;Toensberg;3;id;grain_farm;;
building;Toensberg;3;name;Getreidehof;;
building;Toensberg;3;level;1;;
building;Toensberg;3;active;1;;
building;Toensberg;3;can_run_now;1;;
building;Toensberg;3;inputs;{};;
building;Toensberg;3;outputs;"{""Getreide"": 5}";;
building;Toensberg;4;id;salt_mine;;
building;Toensberg;4;name;Salzmine;;
building;Toensberg;4;level;1;;
building;Toensberg;4;active;1;;
building;Toensberg;4;can_run_now;1;;
building;Toensberg;4;inputs;{};;
building;Toensberg;4;outputs;"{""Salz"": 5}";;
building;Toensberg;5;id;tannery;;
building;Toensberg;5;name;Gerberei;;
building;Toensberg;5;level;1;;
building;Toensberg;5;active;1;;
building;Toensberg;5;can_run_now;1;;
building;Toensberg;5;inputs;"{""Salz"": 1}";;
building;Toensberg;5;outputs;"{""Pelze"": 2}";;
building;Toensberg;6;id;weavery;;
building;Toensberg;6;name;Weberei;;
building;Toensberg;6;level;1;;
building;Toensberg;6;active;1;;
building;Toensberg;6;can_run_now;1;;
building;Toensberg;6;inputs;"{""Holz"": 2}";;
building;Toensberg;6;outputs;"{""Tuch"": 3}";;
building;Toensberg;7;id;winery;;
building;Toensberg;7;name;Weinkellerei;;
building;Toensberg;7;level;1;;
building;Toensberg;7;active;1;;
building;Toensberg;7;can_run_now;0;;
building;Toensberg;7;inputs;"{""Getreide"": 3}";;
building;Toensberg;7;outputs;"{""Wein"": 3}";;
building;Toensberg;8;id;woodcutter;;
building;Toensberg;8;name;Holzfaeller;;
building;Toensberg;8;level;1;;
building;Toensberg;8;active;1;;
building;Toensberg;8;can_run_now;1;;
building;Toensberg;8;inputs;{};;
building;Toensberg;8;outputs;"{""Holz"": 6}";;
building;Toensberg;9;id;grand_brewery;;
building;Toensberg;9;name;Grossbrauerei;;
building;Toensberg;9;level;1;;
building;Toensberg;9;active;1;;
building;Toensberg;9;can_run_now;0;;
building;Toensberg;9;inputs;"{""Getreide"": 4, ""Hopfen"": 2, ""Holz"": 1}";;
building;Toensberg;9;outputs;"{""Bier"": 10}";;
building;Toensberg;10;id;hop_farm;;
building;Toensberg;10;name;Hopfenplantage;;
building;Toensberg;10;level;1;;
building;Toensberg;10;active;1;;
building;Toensberg;10;can_run_now;1;;
building;Toensberg;10;inputs;{};;
building;Toensberg;10;outputs;"{""Hopfen"": 5}";;
building;Toensberg;11;id;tar_kiln;;
